title,label
'This Week' Transcript: Biden,1
Rising to a New Generation of Global Challenges,1
Browse Congressional Bills,1
Taxable Estates Estate Tax Liability and Average Estate Tax Rate By Size of Gross Estate,1
Biden Issues Statement Following Conversation with Musharraf,1
Remarks by the President on the American Jobs Act,1
remarks in Philadelphia,1
Krugman calls Senate health care bill similar to law in Massachusetts,1
US Government Accountability Office Report to Congressional Committees,1
Philando Castile Had Been Stopped 52 Times By Police,1
Regular Session Senate Transcript,1
No More Dragging Up the Rear Arkansas Bows To Pressures To Put Schools To the Test,1
05/27/99 Committee on the Judiciary,1
About Bright Horizons Child Care & Family Solutions,1
No MidOct Paycheck for Troops if Government Shuts Down Lawmaker says,1
Full Interview Transcript: President Barack Obama,1
National Income and Product Accounts Table 175 Relation of Gross Domestic Product,1
America's Enduring Strength,1
Debt Day: A Symbol of Washington’s Arrogant Culture of Borrowing and Spending (Boehner Op-Ed on Townhall.com),1
'This Week' Transcript: Former Vice President Dick Cheney,1
Transcript: Blue-Ribbon Panel on Health Care,1
Republican response to President Barack Obamas Weekly radio address,1
The Colbert Report,1
U.S. Senate: U.S. Senate Roll Call Votes 105th Congress,1
Striking it Richer The Evolution of Top Incomes in the United States update with 2007 estimates,1
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1
China's Space Threat: How Missiles Could Target U.S. Satellites,1
Job Openings and Labor Turnover Survey News Release,1
"'This Week' Transcript: Goolsbee, Brown & Corker",1
Analysis of the 2008 Presidential Candidates’ Tax Plans,1
"U.S. considers 3,000 more troops for Afghanistan",1
"3rd Democratic debate transcript, annotated: Who said what and what it meant",1
"Joni Ernst ""Promises"" Ad",1
Testimony on the Alternative Minimum Tax,1
Obama Criticizes McCain on Lobbyists,1
SECRET VIDEO: Romney Tells Millionaire Donors What He REALLY Thinks of Obama Voters,1
Peace Through Strength and American Pride vs. “Enemy-Centric” Policy,1
'This Week' Transcript: Sen. Dianne Feinstein and Rep. Mike Rogers,1
There’s another choice – Gov. Gary Johnson – Medium,1
Florida Democrats Ask HHS to Protect Floridians from High Insurance Premiums in Marketplace,1
Giuliani in New Hampshire,1
Sale of the Etch A Sketch Brand,1
"Transcript of second McCain, Obama debate",1
"Romney For President Launches New Television Ad, ""Remember""",1
Mike Gravel 2008,1
letter filed on behalf of Sen Barack Obama and the Obama Exploratory Committee,1
School kids taught to praise Obama,1
Reps Cummings and Cole Interviewed on MSNBC,1
Local News Headlines Hawaii,1
Michael Bennet for US Senate,1
U.S. Senator Rand Paul of Kentucky,1
H.R.6060 - 109th Congress (2005-2006): Department of State Authorities Act of 2006,1
spreadsheet with key indicators from OECD Health Data 2009 health care expenditures per capita,1
Transcripts,1
"Care Without Coverage: Too Little, Too Late",1
Rep Mike Pence Web site,1
the Border Security Economic Opportunity and Immigration Modernization Act as passed by the Senate,1
White and Blue Fund ad,1
Pledge of Allegiance E-mail,1
McCain spoke up early,1
"Ad says Obama apologized, showed weakness on Iran",1
Hillary Clinton Remarks at National Urban League Conference,1
Friend of Israel also woos Palestinians Visiting Obama focuses on Israels right to defend itself,1
Transcripts,1
"Saudi Arabia Energy Data, Statistics and Analysis",1
U.S. Solar Market Insight Report,1
FrontPage Magazine,1
Obama: Gitmo inspires jihadists,1
RAW DATA: Dick Cheney's Remarks to the Center for Security Policy,1
Critical Mention,1
Monthly Treasury Statement of Receipts and Outlays of the United States Government,1
Remarks of Senator Barack Obama An Agenda for MiddleClass Success,1
Is The End In Sight For Supermax?,1
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1
Tim Kaine's Speech in Spanish at an Arizona Rally: Read Now,1
Trump's Tough Talk on Hedge-Fund Taxes Doesn't Match His Plan,1
Crime in Chicago: Explore your community,1
John McCain for President,1
Des Moines Register,1
New York Election Results November 7,1
Sanders Supports Gun Safety Bill,1
"""On and On""",1
Sasse Statement on Trade War,1
Monthly Budget Review,1
'This Week' Transcript: Hillary Clinton,1
Centers for Disease Control and Prevention,1
"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",1
"NRA President David Keene Rejects White House Gun Control Approach | PBS NewsHour | Jan. 15, 2013",1
Let’s Not Be Civil,1
Average cable TV bill cited in article on industry study,1
U.S. Department of Education Budget History,1
LexisNexis(R) Publisher,1
Transcript: Bob Barr on 'FOX News Sunday',1
"The first Trump-Clinton presidential debate transcript, annotated",1
Border Security The Role of the US Border Patrol,1
Pelosi urges minimum-wage hike,1
Clinton's Lead Over Trump Shrinks to 3 Points: New NBC News/WSJ Poll,1
FindArticles.com,1
All Nobel Peace Prizes,1
U.S. Senator John McCain,1
H.R.1025 - 103rd Congress (1993-1994): Brady Handgun Violence Prevention Act,1
Hillary Clinton Transcript: Read Full Text of Clinton Campaign Launch,1
John Hagee discusses Catholic Church,1
“Put Palin’s WolfKilling Record on Television”,1
Transcripts,1
"The Hill: Op-Ed: Go natural, go nuclear",1
Amendment to to declare English as the national language of the Government of the United States,1
Declining Business Dynamism in the United States A Look at States and Metros,1
Nexis®: Sign In,1
Rep. Vern Buchanan on Twitter,1
Transcripts,1
Ivanka Trump: Father feels 'vindicated' after Comey hearing,1
"McCain touts 'Gang of 14,' immigration reform",1
Planned Parenthood® Action Center,1
CPD: 2008 Debate Transcript,1
More Czars Than the Romanovs,1
"Impact of Senator Obama's Tax Proposals as Described by Economic Advisors on Workers, Distribution of Federal Tax Change by Cash Income Percentile, 2009",1
"He says universal, but it's no guarantee",1
Obama addresses key concerns for Floridians,1
Chairmans Mark Americas Healthy Future Act of 2009,1
Op-ed by President Obama: President Obama Reflects on the Impact of Title IX,1
'This Week' Transcript: Adm. Mike Mullen,1
Obama Demands Investigation into Subprime Loan Discrimination,1
LexisNexis(R) Publisher,1
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1
Hillary Clinton Transcript: Building the ‘Growth and Fairness Economy’,1
Topic A: How Can President Obama Regain His Political Footing?,1
AUTOS: The Dinosaur Hunter,1
3/8/14 Sen. Rob Portman (R-OH) delivers Weekly GOP Address on American jobs,1
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1
Forget Kiev. The Real Fight Will Be for Crimea,1
2008 Presidential Election,1
Public financial disclosure report,1
McCain Campaigns In Nashville,1
H1N1 vaccinations to be offered to Guantanamo Bay detainees,1
Inquiry Sought in Hillary Clinton’s Use of Email,1
"CNN's Don Lemon: Bill O'Reilly's Criticism Of Black Community ""Doesn't Go Far Enough""",1
FY 2010 President's Budget,1
"""Give Me a Break"" Americans Against Food Taxes TV Ad 2011",1
Barack Obama on Twitter,1
Text - H.R.2122 - 106th Congress (1999-2000): Mandatory Gun Show Background Check Act,1
Noted and Quoted,1
The Associated Press: Obama Hits Clinton on NAFTA Support,1
"Democratic debate: Bernie Sanders really isn't as ""socialist"" as President Eisenhower",1
"'This Week' Transcript: Madeleine Albright, Sen. Lindsey Graham, Sen. Kent Conrad and David Cote",1
"Oct. 11: Levin, Graham, McCaffrey, Myers, roundtable",1
US Foreign Economic and Military Aid by Major Recipient Country The New York Times,1
2011 Text of President Barack Obama’s proposed jobs bill Email interview with Lynne Bernabei,1
Republican consultant says Barack Obama promised to halve federal deficit in his first term,1
2011 Urban InstituteBrookings Institution Tax Policy Center,1
"DNC TV AD: ""Trapped""",1
Fox News Sunday,1
Remarks by the President in Twitter Town Hall,1
Press release AIG Discloses Counterparties to CDS GIA and Securities Lending Transactions,1
2011 via CQ subscribers only Tax Foundation,1
Barack Obama’s Remarks in St. Paul,1
The Fact Hub,1
"Key Facts: Race, Ethnicity and Medical Care",1
"Senator Biden’s Remarks in Springfield, Ill.",1
Rockefeller: An Opportunity We Cant Pass Up,1
"Call 'Islamic terrorism' what it is: a threat to West, Jeb Bush says",1
Obama administration opens the door for states to seek major changes in welfaretowork law,1
Remarks by the President at CNBC Town Hall Discussion on Jobs,1
Q&A: Did slaves build the White House?,1
"Health Reform Carries Heavy Price, Insurers Claim",1
Obama’s Remarks at the White House Health Care Forum,1
"Remarks by the President at Campaign Event -- Colorado Springs, CO",1
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1
"If Democrats Lose, Blame These Guys",1
"McCAIN, John Sidney, III",1
REMARKS BY THE PRESIDENT AND FIRST LADY AT A CAMPAIGN EVENT,1
"As Dems’ “Stimulus” Anniversary Nears, Americans Ask: “Where are the Jobs?”",1
Rep Poe Interviewed on Fox Business Network,1
Senate Democrats news conference on the Senate Climate Action Task Force,1
'This Week' Transcript: Kaine and Steele,1
RACE FOR CITY HALL: The Republican Candidate; A Mercurial Mayor's Confident Journey,1
Encounters With 'Regular Guy' Fred Thompson -- New York Magazine,1
US Trade in Goods,1
Remarks by the President on Responsible Homeownership,1
"Washington Post: Breaking News, World, US, DC News & Analysis",1
interview with Bloomberg television,1
Obamacare vs. the Catholic bishops,1
FDIC: FIL-14-2005: Revised Examination Guidance,1
Justices 1789 to Present,1
A Preliminary Analysis of the President’s Budget and an Update of CBO’s Budget and Economic Outlook,1
"S.1591 - 104th Congress (1995-1996): A bill to prohibit campaign expenditures for services of lobbyists, and for other purposes.",1
Teamsters Tout ANWR on Capitol Hill,1
Senate Passes Obama-Hagel Provision Aimed at Preventing Nuclear Terrorism,1
Transcript: House Majority Leader Boehner on 'FNS',1
John McCain for President,1
"Background Briefing on GM Restructuring, May 31, 2009",1
Georgia crisis triggers war of words on White House trail,1
Social Security Trustees Report 2007,1
U.S. Senator Debbie Stabenow of Michigan,1
Hillary Clinton Sits Down With Bill OReilly,1
The Committee on Energy and Commerce,1
Writers May Have Pact. Huckabee Crosses Picket Line—Again,1
"Latest World News, Videos & Photos -ABC News - ABC News",1
Economy Protect Homeownership and Crack Down on Mortgage Fraud,1
Congressman Pence Discusses House Republican Energy Bill on MSNBC's Morning Joe,1
"Switchboard, from NRDC :: Barbara Finamore's Blog :: China’s Carbon Intensity Target",1
Transcript: Vice Presidential Debate,1
comments at the CNN Republican presidential debate in Las Vegas,1
"Palin: Pioneer, maverick -- and now game-changer",1
Why the Public Option Isn't the Only Answer to Health-Care Reform,1
One in Four – Congressman Joe Pitts – Medium,1
Congressman Allen West : Final Weekly Wrapup,1
United States Senator Jim DeMint,1
Rebooting: You and your doctor under Obamacare,1
Card Penalty Fees Soften Slightly In 2010,1
Assistant professor of economics at the Gatton College of Business and Economics at University of Kentucky,1
"President Trump Campaigns Rick Saccone Pennsylvania, Mar 10 2018",1
Daily Fuel Gauge Report Aug 1,1
Public Citizen,1
WATCH FULL Ted Cruz presser on new deal with Kasich (UPDATE: PART TWO ADDED),1
Protecting Our Children from the Dangers of Smoking,1
Part 1 of CNN Democratic presidential debate,1
"9/11 families, others rally in favor of NYC mosque",1
Resource Not Available,1
"McCain, Obama go head to head in last debate",1
Take action,1
Transcripts,1
'This Week' Transcript: Gen. Jim Jones (Ret.),1
Renewing Americas Promise,1
"Earmark reform? 2009 spending bill contains 9,000 of them",1
Dean Ralph Reed Fundraiser Reveals McCain Double Talk on Ethics,1
"Leonard Lance claims federal tax code contains 4 million words, is 7 times as long as Bible",1
Public Campaign Action Fund,1
TSA: Frequently Asked Questions,1
Rep Jan Schakowsky on MSNBC,1
Donald J. Trump on the Stakes of the Election,1
MoveOn.org Political Action: 10 things to know about McCain,1
United States Department of Defense,1
MoveOn.org Political Action: General Petraeus or General Betray Us?,1
MoveOn.org Political Action: 10 things to know about McCain,1
The CNN Democratic presidential debate in Texas,1
"New York Officials Welcome Immigrants, Legal or Illegal",1
A Senate in the Gun Lobby’s Grip,1
public information officer for Palm Beach County Property Appraisers Office,1
Estonia Might Have The Most Efficient Tax Filing System In The World,1
Remarks by the President on the Resurgence of the American Auto Industry,1
"PWNED: House GOP Dominates Twitter, YouTube, Social Media in Congress",1
当ブログでは福岡県内にある不動産会社についてさまざまな情報をまとめています。福岡市の分譲マンションやマンション経営で頼りになる企業をご紹介！,1
Text of H.R. 3338 (107th): Department of Defense and Emergency Supplemental Appropriations for Recovery from and Response to ... (Passed Congress version),1
Mourning in America,1
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1
The Democratic Debate in Cleveland,1
Interest Group Ratings,1
First Presidential Debate,1
Town Hall Meeting in Derry NH,1
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1
John McCain,1
McCain-Palin 2008,1
Political TV Ad Archive » PolAd,1
Public Views on Health Care Overhaul Top Week's News,1
"Most heroin in U.S. now comes across Mexican border, Rob Portman says",1
Democratic National Convention Committee,1
"Rick Santorum: By amending constitution, we can balance the budget for good",1
Social Security Online History Pages,1
Notice: Data not available: U.S. Bureau of Labor Statistics,1
Clinton campaign’s claim that Trump would ‘force schools to allow guns in classrooms’,1
Obama: Mitt Romney refused to say whether he supports Lilly Ledbetter Act,1
foreign policy speech,1
Justice Department Memos on Interrogation Techniques,1
PolitiFact’s annotated transcript of the second presidential debate,1
Debbie Wasserman Schultz on Twitter,1
Remarks by President Trump in a Listening Session on Healthcare,1
Romney campaign ad,1
What Carly is doing tonight – Carly Fiorina – Medium,1
Children - Obama for America TV Ad,1
2007 Kaiser/HRET Employer Health Benefits Survey,1
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1
"Most heroin in U.S. now comes across Mexican border, Rob Portman says",1
Rule by Rentiers,1
2011 Urban Institute and the Blue Cross Blue Shield of Massachusetts Foundation,1
Donald Trump featured in new jihadist recruitment video,1
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1
interview on Fox News,1
Has the potency of pot changed since President Obama was in high school?,1
Change We Can Believe In,1
Peanut Product Recall Took Company Approval,1
Action for 25th Legislature,1
Democratic National Convention Committee,1
Iraq pullout could create chaos,1
In Obama's Words,1
"For Education Secretary, Stimulus Means Dollars and Risk",1
VIDEO: Special Preview Of Jersey Shore In Miami!,1
Obama Promises Abortion in Public Plan,1
Popular baby names,1
Top Presidential Candidate 2008 Websites,1
speech in Cincinnati,1
Louise Slaughter on Twitter,1
Laws Affecting Reproductive Health and Rights: 2013 State Policy Review,1
Fox News Sunday,1
International Energy Statistics,1
Donald Trump Sets Conditions for Defending NATO Allies Against Attack,1
The State of Working America 20067 pdf,1
"Bill Clinton Says He 'Never Said A Bad Word About Senator Obama,' At mtvU's First 'Editorial Board'",1
Trump on Prejean: Same as Obama,1
"Donald Trump, Billy Bush: Interview Scrambles Race",1
Transcript: Interview with Donald Trump,1
Rep. Michael McCaul (R-TX) Appears on Face the Nation,1
Energy and Commerce Committee,1
Meet Barack Obama,1
Redirect Notice,1
"Carolyn B. Maloney on Twitter: ""Women's health & wellbeing don’t seem to count in the math of the GOP's merciless #PayMoreForLess healthcare bill. We must not defund @PPFA!… https:",1
Fiscal Year 2011 Email interview with Todd Harrison of the Center for Strategic and Budgetary Assessments,1
"Shields and Gerson on Cabinet Noms, Gun Laws, Boehner's Leadership | PBS NewsHour | Dec. 21, 2012",1
U.S. Senate: U.S. Senate Roll Call Votes 103rd Congress,1
CQ Vote Studies,1
CPAC 2013 - Former Governor Sarah Palin (R-AK),1
"""One Hundred Percent"" by Club for Growth Action",1
Browse Congressional Bills,1
Executive Order Protecting the Nation from Foreign Terrorist Entry into the United States,1
Debbie Wasserman Schultz on Twitter,1
"Senator Charles Schumer NY November Midterm Elections, Nov 25 2014",1
CHIP Enrollment: June 2011 Data Snapshot,1
"Remarks by the President on the Economy -- Knox College, Galesburg, IL",1
Memorial Day,1
'This Week' Transcript: Target Libya,1
Administration Is Seeking $700 Billion for Wall Street,1
Family Policy Alliance,1
HillaryClinton.com,1
"This Labor Day, we need protests",1
Breaking down barriers for African Americans – Hillary for America – Medium,1
WarOnPoverty50,1
Supreme Court Vacancy Video,1
U.S. House Committee on Foreign Affairs,1
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1
Remarks by the President on Oil and Gas Subsidies,1
Have You Been to Iraq — 76 Sens Say They Have by Patrick Fitzgerald,1
House GOP Introduces Keep Terrorists Out of America Act,1
Should ISIS' gains lead to more U.S. troops in Iraq?,1
Resource Not Available,1
Individual Income Tax Returns Publication 1304 (Complete Report),1
Transcripts,1
State of the Union 2013,1
Statement by the President,1
Ron Paul Praises Embattled RNC Chief Michael Steele For Leadership On Afghanistan,1
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1
Palin tries new tactic to unload hated jet: Gov. Sarah Palin background,1
Barasso Ready to Question Kagan,1
Transcript Briefing by Press Secretary Robert Gibbs,1
Israel should welcome Rouhani's election victory,1
Uniform Crime Reports,1
Political TV Ad Archive » PolAd,1
Keeping His Word: Lowering the Cost of Medicare Prescriptions,1
Rand Paul: Will Donald Trump betray voters by hiring John Bolton?,1
ABC News: ABC News,1
Political Figures: C (2),1
Rep. Ross: We need to get government running again,1
President Barack Obama in Portsmouth Town Hall,1
“Put Palin’s WolfKilling Record on Television”,1
2007 Federal Tax Rate Schedules,1
Web Ad A Tale of Two Mitts,1
McCain in Colorado,1
"Vladimir Putin's Approval Rating Hits All-Time High, Boosted by Syria Airstrikes",1
"Penniless California issues IOUs to firms, clinics, taxpayers and students",1
"As Americans Save Money, their Government Spends with Reckless Abandon",1
Rand Paul: We Must Demilitarize the Police,1
Remarks by the President at the Associated Press Luncheon,1
eCFR — Code of Federal Regulations,1
CQ Transcriptswire > Login,1
Morgan Griffith says EPA treats milk spills same way as oil spills,1
CQ Vote Studies,1
GDP and the Economy Final Estimates for the Third Quarter of 2007,1
Transcript of Wednesday's presidential debate,1
Obama Exclusive Concedes Senate Voteainst Raising Debt Limit Was Political,1
The page you're looking for may have been moved or renamed,1
‘Americans need to stand together’: Hillary Clinton’s remarks following the Orlando shooting,1
Sen. Barack Obama's answer to meeting energy demands,1
Statement by the President,1
"'This Week' Transcript: Hoyer, Boehner and Bill Gates",1
Arizona Department of Public Safety,1
Sen. Gregg: President Obama's Budget Proposal Is a 'Disaster',1
School Choice FAQ,1
"Data on Campaign Finance, Super PACs, Industries, and Lobbying",1
"Department of Homeland Security Appropriations Act, 2007 (2006; 109th Congress H.R. 5441)",1
Poor and the nearpoor 1959 to 2006,1
Cain said food stamp program use up under Obama,1
Testimony on CBO’s Assessment of the Air Force’s Plan to Acquire 100 Boeing Tanker Aircraft,1
Fox News Sunday,1
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1
Illinois General Assembly,1
Health Insurance Coverage in the United States 2015,1
Top Picks (Most Requested Statistics) : U.S. Bureau of Labor Statistics,1
The Republican Road to Recovery,1
Democratic National Convention,1
60 Minutes Transcript,1
Bureau of Labor Statistics Data,1
The Texas Unmiracle,1
Indictment US v Vince McMahon and Titan Sports New Haven Register,1
Barack Obama Challenges John McCain To Duel Over Taxes,1
A comprehensive investigation of voter impersonation finds 31 credible incidents out of one billion ballots cast,1
LexisNexis(R) Publisher,1
The Des Moines Register,1
The Gingrich Tragedy,1
Obama Criticizes McCain on Lobbyists,1
Cravaack Passes Amendment to Improve US Aviation Security in Opposition to Obamas Planned Disarming of Federal Flight Deck Officers,1
Barack Obama says U.S. oil production last year was highest since 2003,1
TG-162: Treasury Announces $68 Billion in Expected CPP Repayments,1
"Current-Law Distribution of Federal Taxes By Cash Income Percentiles, 2007",1
Part I: CNN/YouTube Democratic presidential debate transcript,1
"Table of Known Nuclear Tests Worldwide, 1945-1996",1
Remarks by the President at GOP House Issues Conference,1
"Hillary Rodham Clinton, Senator for New York: Floor Speech of Senator Hillary Rodham Clinton on S.J. Res. 45, A Resolution to Authorize the Use of United States Armed Forces Against Iraq",1
TPMtv Extra: South Carolina Ronald Reagan Debate,1
a director of research for the foreign policy program at the Brookings Institution,1
Massachusetts Department of Elementary and Secondary Education,1
Expanding Opportunity — #KempForum16 – Paul Ryan – Medium,1
Country of Origin Labeling (COOL),1
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1
Mike Huckabee: Fried Squirrel Out of a Popcorn Popper,1
Transcript of Wednesday's presidential debate,1
"McConnell, Webb, Jindal express uncertainty over Iran nuclear deal",1
"Remarks by the President on Comprehensive Immigration Reform in El Paso, Texas",1
Kerry-McCain: Welcome To Massachusetts!,1
"Obama Urges Bernanke, Paulson to Fight Foreclosures, Hold Homeownership Summit",1
Schneiderman suing Trump over DACA cites 'discriminatory animus',1
Americas 5 Best Governors,1
Situation Syria Regional Refugee Response,1
Transcript of Republican Presidential debate at the Ronald Reagan Library in Simi Valley,1
"Sec. John Kelly on Manchester investigation, keeping America safe",1
John McCain for President,1
alert to members on abortion coverage in the House health care bill,1
Terror Suspects Are Buying Guns - and the FBI Can't Stop Them,1
Organizing for Action,1
"Hannity says Obama won't even use the term ""war on terrorism""",1
a professor of American Studies at Lynn University,1
transcript accessed via Nexis Mitt Romney Sends Taped Message to 2011 NRA Convention,1
An Open Letter to 'All Barack Channel',1
"Obama for America TV Ad: ""Firms""",1
roll call on Stupak amendment,1
Pastors To Protest IRS Rules on Political Advocacy,1
"Mitch McConnell, Alison Lundergan Grimes Have 'Sharp Differences' on Campaign Finance Rules",1
by Mark Halperin,1
"Ryan's plan includes $700 billion in Medicare ""cuts,"" says Stephanie Cutter",1
U.S. Senate: U.S. Senate Roll Call Votes 110th Congress,1
Table B46 Employees on nonagricultural payrolls by major industry 19552006,1
Jim DeMint on Twitter,1
"Fed Up! Our Fight to Save America from Washington, by Rick Perry",1
Obama’s Health Care Speech to Congress,1
Press release Rep Barton Democrats stimulus will waste money abuse people and lead to unintended consequences,1
Summing Summertime: Part 4,1
Laura Ingraham wrongly says claim that 90% support for gun background checks has been debunked,1
"Bill Clinton Says He 'Never Said A Bad Word About Senator Obama,' At mtvU's First 'Editorial Board'",1
Federal Election Commission filing,1
Transcript of debate between Chris Coons and Christine ODonnell,1
Transcripts,1
Barack Obama says Mitt Romney condemned coal-fired power plants as killers,1
The full transcript of the third presidential debate,1
Poverty 2005 Highlights,1
Food Standards and Labeling Policy Book,1
'This Week' Transcript: Geithner,1
Transcripts,1
"Nancy Pelosi, Wicked Witch of the West",1
or Degrading Treatment of Punishment Text of International Covenant on Civil and Political Rights Text of Geneva Convention relative to the Treatment of Prisoners of War Text of Geneva Convention relative to the Protection of Civilian Persons in Time of War Text of Universal Declaration of Human Rights Jay Bybee assistant attorney general,1
Warren Buffett says the super-rich pay lower tax rates than others,1
U.S. Senate: U.S. Senate Roll Call Votes 108th Congress,1
Jeb Bush 2016 Same Resume Right to Rise USA PAC,1
"In Weekly Republican Address, Boehner Calls For “New Way Forward” Focused on Creating Jobs, Cutting Spending, & Reforming Congress",1
U.S. Senate: U.S. Senate Roll Call Votes 111th Congress,1
Harry Reid,1
Video Interview with Howard Dean,1
The Democratic Debate in Cleveland,1
Obama knows his way around a ballot -- chicagotribune.com,1
speech on the floor of the US House of Representatives,1
"Everything you need to know about the drone debate, in one FAQ",1
WATCH LIVE: Tim Kaine and Corey Stewart meet for first U.S. Senate debate in Virginia,1
Web Ad A Tale of Two Mitts,1
Romney CPAC Speech: It's All About the Jobs,1
Patient Protection and Affordable Care Act,1
AFP: McCain renews attacks on Obama links to radical,1
Patient Protection and Affordable Care Act,1
Sarah Palin on Twitter,1
"No Regrets for a Love Of Explosives; In a Memoir of Sorts, a War Protester Talks of Life With the Weathermen",1
"Bill Clinton on Rush Limbaugh, His Mistakes, the Supreme Court and Middle East Peace",1
Rick Santorum sworn in as Pennsylvania’s newest senator,1
"Letter to the Honorable John Boehner providing an estimate for H.R. 6079, the Repeal of Obamacare Act",1
Financial Rescue Nears GDP as Pledges Top 128 Trillion by Mark Pittman and Bob Ivry,1
Transcript: NPR's Full Interview With Sen. Marco Rubio,1
Gore looking to turn idle fans into activists 3year ad campaign will feature enemies united on climate,1
The early catastrophe,1
NPC Luncheon with Eric Holder,1
"""Face the Nation"" transcripts, August 26, 2012: Rubio, Priebus, Barbour, Blackburn",1
2011-2012 Wisconsin Legislature Documents,1
